Ticker;Date;Stock close;Stock net;Percentage change;Stock open;Low;High
SP500;09-jan-2024;4.756,4965;-7,0408;-0,1478%;4.756,4965;4.756,4965;4.756,4965
SP500;08-jan-2024;4.763,5373;+66,2924;+1,4113%;4.763,5373;4.763,5373;4.763,5373
SP500;05-jan-2024;4.697,2449;+8,5689;+0,1828%;4.697,2449;4.697,2449;4.697,2449
SP500;04-jan-2024;4.688,6760;-16,1351;-0,3429%;4.688,6760;4.688,6760;4.688,6760
SP500;03-jan-2024;4.704,8111;-38,0184;-0,8016%;4.704,8111;4.704,8111;4.704,8111
SP500;02-jan-2024;4.742,8295;-26,9999;-0,5661%;4.742,8295;4.742,8295;4.742,8295
SP500;29-dec-2023;4.769,8294;-13,5180;-0,2826%;4.769,8294;4.769,8294;4.769,8294
SP500;28-dec-2023;4.783,3474;+1,7686;+0,0370%;4.783,3474;4.783,3474;4.783,3474
SP500;27-dec-2023;4.781,5788;+6,8282;+0,1430%;4.781,5788;4.781,5788;4.781,5788
SP500;26-dec-2023;4.774,7506;+20,1192;+0,4231%;4.774,7506;4.774,7506;4.774,7506
SP500;22-dec-2023;4.754,6314;+7,8858;+0,1661%;4.754,6314;4.754,6314;4.754,6314
SP500;21-dec-2023;4.746,7456;+48,3937;+1,0300%;4.746,7456;4.746,7456;4.746,7456
SP500;20-dec-2023;4.698,3519;-70,0135;-1,4683%;4.698,3519;4.698,3519;4.698,3519
SP500;19-dec-2023;4.768,3654;+27,8094;+0,5866%;4.768,3654;4.768,3654;4.768,3654
SP500;18-dec-2023;4.740,5560;+21,3654;+0,4527%;4.740,5560;4.740,5560;4.740,5560
SP500;15-dec-2023;4.719,1906;-0,3613;-0,0077%;4.719,1906;4.719,1906;4.719,1906
SP500;14-dec-2023;4.719,5519;+12,4605;+0,2647%;4.719,5519;4.719,5519;4.719,5519
SP500;13-dec-2023;4.707,0914;+63,3896;+1,3651%;4.707,0914;4.707,0914;4.707,0914
SP500;12-dec-2023;4.643,7018;+21,2610;+0,4600%;4.643,7018;4.643,7018;4.643,7018
SP500;11-dec-2023;4.622,4408;+18,0685;+0,3924%;4.622,4408;4.622,4408;4.622,4408
SP500;08-dec-2023;4.604,3723;+18,7861;+0,4097%;4.604,3723;4.604,3723;4.604,3723
SP500;07-dec-2023;4.585,5862;+36,2488;+0,7968%;4.585,5862;4.585,5862;4.585,5862
SP500;06-dec-2023;4.549,3374;-17,8456;-0,3907%;4.549,3374;4.549,3374;4.549,3374
SP500;05-dec-2023;4.567,1830;-2,5986;-0,0569%;4.567,1830;4.567,1830;4.567,1830
SP500;04-dec-2023;4.569,7816;-24,8500;-0,5408%;4.569,7816;4.569,7816;4.569,7816
SP500;01-dec-2023;4.594,6316;+26,8330;+0,5874%;4.594,6316;4.594,6316;4.594,6316
SP500;30-nov-2023;4.567,7986;+17,2163;+0,3783%;4.567,7986;4.567,7986;4.567,7986
SP500;29-nov-2023;4.550,5823;-4,3083;-0,0946%;4.550,5823;4.550,5823;4.550,5823
SP500;28-nov-2023;4.554,8906;+4,4626;+0,0981%;4.554,8906;4.554,8906;4.554,8906
SP500;27-nov-2023;4.550,4280;-8,9072;-0,1954%;4.550,4280;4.550,4280;4.550,4280
SP500;24-nov-2023;4.559,3352;+2,7160;+0,0596%;4.559,3352;4.559,3352;4.559,3352
SP500;22-nov-2023;4.556,6192;+18,4275;+0,4061%;4.556,6192;4.556,6192;4.556,6192
SP500;21-nov-2023;4.538,1917;-9,1858;-0,2020%;4.538,1917;4.538,1917;4.538,1917
SP500;20-nov-2023;4.547,3775;+33,3596;+0,7390%;4.547,3775;4.547,3775;4.547,3775
SP500;17-nov-2023;4.514,0179;+5,7744;+0,1281%;4.514,0179;4.514,0179;4.514,0179
SP500;16-nov-2023;4.508,2435;+5,3647;+0,1191%;4.508,2435;4.508,2435;4.508,2435
SP500;15-nov-2023;4.502,8788;+7,1772;+0,1596%;4.502,8788;4.502,8788;4.502,8788
SP500;14-nov-2023;4.495,7016;+84,1467;+1,9074%;4.495,7016;4.495,7016;4.495,7016
SP500;13-nov-2023;4.411,5549;-3,6898;-0,0836%;4.411,5549;4.411,5549;4.411,5549
SP500;10-nov-2023;4.415,2447;+67,8954;+1,5618%;4.415,2447;4.415,2447;4.415,2447
SP500;09-nov-2023;4.347,3493;-35,4345;-0,8085%;4.347,3493;4.347,3493;4.347,3493
SP500;08-nov-2023;4.382,7838;+4,4047;+0,1006%;4.382,7838;4.382,7838;4.382,7838
SP500;07-nov-2023;4.378,3791;+12,4011;+0,2840%;4.378,3791;4.378,3791;4.378,3791
SP500;06-nov-2023;4.365,9780;+7,6428;+0,1754%;4.365,9780;4.365,9780;4.365,9780
SP500;03-nov-2023;4.358,3352;+40,5597;+0,9394%;4.358,3352;4.358,3352;4.358,3352
SP500;02-nov-2023;4.317,7755;+79,9195;+1,8858%;4.317,7755;4.317,7755;4.317,7755
SP500;01-nov-2023;4.237,8560;+44,0550;+1,0505%;4.237,8560;4.237,8560;4.237,8560
SP500;31-okt-2023;4.193,8010;+26,9859;+0,6476%;4.193,8010;4.193,8010;4.193,8010
SP500;30-okt-2023;4.166,8151;+49,4413;+1,2008%;4.166,8151;4.166,8151;4.166,8151
SP500;27-okt-2023;4.117,3738;-19,8570;-0,4800%;4.117,3738;4.117,3738;4.117,3738
SP500;26-okt-2023;4.137,2308;-49,5344;-1,1831%;4.137,2308;4.137,2308;4.137,2308
SP500;25-okt-2023;4.186,7652;-60,9116;-1,4340%;4.186,7652;4.186,7652;4.186,7652
SP500;24-okt-2023;4.247,6768;+30,6334;+0,7264%;4.247,6768;4.247,6768;4.247,6768
SP500;23-okt-2023;4.217,0434;-7,1161;-0,1685%;4.217,0434;4.217,0434;4.217,0434
SP500;20-okt-2023;4.224,1595;-53,8379;-1,2585%;4.224,1595;4.224,1595;4.224,1595
SP500;19-okt-2023;4.277,9974;-36,6033;-0,8484%;4.277,9974;4.277,9974;4.277,9974
SP500;18-okt-2023;4.314,6007;-58,5953;-1,3399%;4.314,6007;4.314,6007;4.314,6007
SP500;17-okt-2023;4.373,1960;-0,4388;-0,0100%;4.373,1960;4.373,1960;4.373,1960
SP500;16-okt-2023;4.373,6348;+45,8518;+1,0595%;4.373,6348;4.373,6348;4.373,6348
SP500;13-okt-2023;4.327,7830;-21,8228;-0,5017%;4.327,7830;4.327,7830;4.327,7830
SP500;12-okt-2023;4.349,6058;-27,3394;-0,6246%;4.349,6058;4.349,6058;4.349,6058
SP500;11-okt-2023;4.376,9452;+18,7073;+0,4292%;4.376,9452;4.376,9452;4.376,9452
SP500;10-okt-2023;4.358,2379;+22,5804;+0,5208%;4.358,2379;4.358,2379;4.358,2379
SP500;09-okt-2023;4.335,6575;+27,1552;+0,6303%;4.335,6575;4.335,6575;4.335,6575
SP500;06-okt-2023;4.308,5023;+50,3165;+1,1816%;4.308,5023;4.308,5023;4.308,5023
SP500;05-okt-2023;4.258,1858;-5,5653;-0,1305%;4.258,1858;4.258,1858;4.258,1858
SP500;04-okt-2023;4.263,7511;+34,2981;+0,8109%;4.263,7511;4.263,7511;4.263,7511
